Lines   A1 Time A2 Time A3 Time A4 Time
100     0.08167 0.01316 0.00026 0.00029
200     0.63689 0.07770 0.00045 0.00060
300     2.16108 0.27030 0.00072 0.00093
400     5.07531 0.60974 0.00096 0.00126
500     9.93557 1.18310 0.00117 0.00157
600     17.1548 2.03575 0.00282 0.00285
700     27.4515 3.22775 0.00165 0.00222
800     41.0484 4.71010 0.00189 0.00241
900     58.4698 6.63860 0.00208 0.00289
1000                    0.00239 0.00634
2000                    0.00463 0.00871
3000                    0.01014 0.01446
4000                    0.01323 0.01675
5000                    0.01474 0.02439
6000                    0.02322 0.02608
7000                    0.02192 0.03189
8000                    0.02613 0.03847
9000                    0.03415 0.04436
